Repeats,Turns,Go,Old Kent Road,Community Chest,Whitechapel Road,Income Tax,Kings Cross Station,"The Angel, Islington",Chance,Euston Road,Pentonville Road,Jail,Pall Mall,Electric Company,Whitehall,Northumberland Avenue,Marylebone Station,Bow Street,Community Chest,Marlborough Street,Vine Street,Free Parking,Strand,Chance,Fleet Street,Trafalgar Square,Fenchurch Street Station,Leicester Square,Coventry Street,Water Works,Piccadilly,Go to Jail,Regent Street,Oxford Street,Community Chest,Bond Street,Liverpool Street Station,Chance,Park Lane,Super Tax,Mayfair
,,0.02807375,0.019189063,0.019594896,0.019843229,0.021430521,0.027462917,0.020886667,0.02085125,0.020968333,0.020625417,0.054353021,0.025654063,0.024991979,0.023094792,0.024701146,0.028978542,0.027186979,0.027308646,0.027436667,0.028981458,0.02721125,0.0268125,0.026149375,0.025762604,0.030083229,0.028835313,0.024965208,0.024601354,0.026334479,0.024946354,0.024813854,0.024393646,0.023557708,0.024311354,0.022113333,0.0207575,0.020125313,0.019707917,0.019363854,0.023540521
1000,50,0.02782,0.01858,0.01968,0.02038,0.02104,0.02838,0.0203,0.02092,0.02006,0.02102,0.05468,0.02462,0.02662,0.02254,0.02434,0.02776,0.02772,0.028,0.0266,0.02824,0.02808,0.02684,0.026,0.02668,0.03044,0.02938,0.0242,0.02416,0.02664,0.02474,0.02564,0.02358,0.02316,0.02408,0.02274,0.02172,0.0203,0.01914,0.0193,0.02388
1000,50,0.0271,0.01942,0.01866,0.01988,0.02134,0.02714,0.02098,0.02096,0.02122,0.02014,0.05494,0.02606,0.02486,0.02304,0.02452,0.03004,0.02702,0.02722,0.02682,0.02874,0.02722,0.02718,0.02554,0.02532,0.03018,0.03004,0.02318,0.0241,0.02642,0.02574,0.02502,0.02494,0.02326,0.02426,0.02186,0.02126,0.01944,0.02028,0.01936,0.0253
1000,50,0.02808,0.01918,0.01958,0.01946,0.0204,0.02702,0.02216,0.02008,0.02082,0.0206,0.05542,0.02538,0.02432,0.02342,0.02486,0.02862,0.02748,0.0283,0.02828,0.02808,0.02702,0.02622,0.02564,0.0268,0.0307,0.02802,0.02532,0.02432,0.02658,0.02462,0.02568,0.0248,0.02368,0.02492,0.02074,0.01998,0.02012,0.02032,0.02,0.02298
1000,50,0.02826,0.01942,0.02024,0.0196,0.02202,0.02736,0.02124,0.02102,0.02134,0.02044,0.05484,0.02598,0.02298,0.02382,0.0254,0.02882,0.0276,0.02634,0.02776,0.03002,0.02662,0.02584,0.02704,0.02548,0.02986,0.02844,0.0255,0.02358,0.02536,0.0259,0.02416,0.02438,0.02248,0.02476,0.02324,0.02,0.02126,0.01934,0.0185,0.02376
1000,50,0.02888,0.0191,0.02004,0.02038,0.02092,0.0273,0.02086,0.0207,0.02036,0.02128,0.05484,0.02594,0.02452,0.02398,0.0238,0.02972,0.02682,0.0275,0.02782,0.02856,0.02668,0.02738,0.0258,0.02466,0.03118,0.02906,0.0244,0.02588,0.02538,0.02482,0.02462,0.02396,0.02326,0.02392,0.02258,0.02102,0.02,0.01926,0.01878,0.02404
1000,50,0.02826,0.01922,0.01996,0.01888,0.02132,0.02748,0.0225,0.0204,0.02116,0.02108,0.05244,0.0264,0.02502,0.02298,0.02452,0.02908,0.0284,0.02658,0.02752,0.02952,0.02596,0.02688,0.0261,0.02538,0.03026,0.03004,0.0252,0.0246,0.02614,0.02368,0.02342,0.025,0.02452,0.02414,0.02298,0.0213,0.0197,0.0195,0.0194,0.02308
1000,50,0.02744,0.01964,0.0201,0.01974,0.02092,0.0265,0.02184,0.02062,0.02104,0.02072,0.05442,0.02526,0.02498,0.0233,0.025,0.02908,0.02574,0.0257,0.02782,0.02958,0.02892,0.02674,0.0258,0.02656,0.02898,0.02914,0.02544,0.02346,0.02694,0.02524,0.02472,0.0243,0.02412,0.02504,0.02186,0.02024,0.01966,0.01998,0.01974,0.02368
1000,50,0.02906,0.01852,0.0188,0.01904,0.02182,0.02828,0.02112,0.02102,0.02142,0.02148,0.05406,0.02506,0.02456,0.02362,0.02478,0.02882,0.0277,0.02688,0.02694,0.03034,0.02742,0.02644,0.02648,0.02476,0.03072,0.02768,0.02526,0.02408,0.02676,0.02548,0.02554,0.02266,0.02372,0.02506,0.021,0.02062,0.02048,0.0185,0.01978,0.02424
1000,50,0.028,0.01946,0.0203,0.02042,0.02124,0.02678,0.02146,0.0212,0.0206,0.02034,0.0543,0.02586,0.0248,0.02272,0.02386,0.02972,0.02714,0.02724,0.02746,0.0283,0.02698,0.02718,0.02654,0.02538,0.03062,0.0285,0.02518,0.02544,0.0268,0.0249,0.02508,0.02442,0.0231,0.02418,0.02272,0.02042,0.0198,0.01994,0.01908,0.02254
1000,50,0.02826,0.01922,0.01884,0.01958,0.0213,0.02838,0.02138,0.02124,0.02098,0.02036,0.05528,0.02552,0.02472,0.02294,0.02444,0.0293,0.02784,0.0271,0.02676,0.02852,0.02716,0.02642,0.02756,0.02624,0.0297,0.02842,0.02512,0.02516,0.02706,0.0249,0.02552,0.02392,0.02366,0.02364,0.0214,0.0209,0.01962,0.01904,0.01948,0.02312
1000,50,0.02846,0.01894,0.01934,0.01934,0.0225,0.02804,0.01954,0.01972,0.02164,0.0207,0.05394,0.02658,0.02614,0.02254,0.02522,0.0287,0.02674,0.02826,0.0271,0.02838,0.02746,0.02618,0.02606,0.02598,0.03082,0.02854,0.02554,0.02414,0.02526,0.02558,0.02512,0.0256,0.0237,0.02396,0.0218,0.02052,0.02034,0.01874,0.0197,0.02314
